category,state,closed_at,opened_at,closed_by,number,sys_updated_by,location,assigned_to,caller_id,sys_updated_on,short_description,assignment_group,priority,reassignment_count,predicted_by_model
Software,Resolved,2023-03-26 17:14:15,2023-03-19 9:40:00,Charlie Whitherspoon,INC000000590,system,United States,Fred Luddy,Don Goodliffe,2023-03-26 17:14:15,Software update failure on work PC,Software,3 - Moderate,1,FALSE
Software,Closed,2023-01-03 11:04:00,2023-01-02 11:04:00,Charlie Whitherspoon,INC000000500,admin,UK,Beth Anglin,David Loo,2023-01-03 11:04:00,Application error on office software,Software,2 - High,1,FALSE
Hardware,Closed,2023-01-11 1:17:39,2023-01-03 10:19:00,Beth Anglin,INC000000501,employee,Australia,Luke Wilson,Don Goodliffe,2023-01-11 1:17:39,Printer error at Printer-id: Printer546 in Australia,Hardware,2 - High,2,FALSE
Hardware,Closed,2023-01-21 3:18:59,2023-01-04 6:37:00,Luke Wilson,INC000000502,system,Australia,Fred Luddy,Don Goodliffe,2023-01-21 3:18:59,Printer745 is not working in Australia,Hardware,1 - Critical,3,FALSE
Hardware,Resolved,2023-01-05 17:54:37,2023-01-04 6:53:00,Luke Wilson,INC000000503,employee,Australia,Fred Luddy,ITIL User,2023-01-05 17:54:37,Printer issue reported on Printer546,Hardware,1 - Critical,1,FALSE
Hardware,Closed,2023-01-06 16:52:00,2023-01-05 16:52:00,Fred Luddy,INC000000504,employee,Australia,Fred Luddy,David Loo,2023-01-06 16:52:00,Printer123 failure in Australia,Hardware,1 - Critical,2,FALSE
Network,Closed,2023-01-12 10:23:01,2023-01-06 1:22:00,Fred Luddy,INC000000505,employee,India,Luke Wilson,ITIL User,2023-01-12 10:23:01,Unable to connect to the VPN from India,Network,1 - Critical,1,FALSE
Software,Resolved,2023-01-14 9:42:31,2023-01-06 6:14:00,Fred Luddy,INC000000506,system,Canada,Luke Wilson,Bud Richman,2023-01-14 9:42:31,Software crash on startup does not allow to work properly,Software,1 - Critical,1,FALSE
Hardware,Closed,2023-01-13 3:44:31,2023-01-06 15:27:00,Luke Wilson,INC000000507,admin,Australia,Charlie Whitherspoon,ITIL User,2023-01-13 3:44:31,Printer456 is not working,Hardware,1 - Critical,1,FALSE
Hardware,Resolved,2023-01-08 15:20:00,2023-01-07 15:20:00,Luke Wilson,INC000000508,system,United States,Charlie Whitherspoon,David Loo,2023-01-08 15:20:00,Fault in server hardware S09-US,Hardware,2 - High,1,FALSE
Network,Resolved,2023-01-09 8:53:00,2023-01-08 8:53:00,Luke Wilson,INC000000509,admin,UK,Beth Anglin,Bud Richman,2023-01-09 8:53:00,Can't connect to VPN,Network,2 - High,1,FALSE
